# ID	AP	PP	生命	物攻	物防	魔攻	魔防	命中	闪避	暴击	格挡	速度	主动1	主动1等级	主动2	主动2等级	主动3	主动3等级	主动4	主动4等级	被动1	被动1等级	被动2	被动2等级	被动3	被动3等级	被动4	被动4等级
1	1	1	120	100	120	100	110	115	120	100	140	120	28	1	29	10	0	0	0	0	452	1	424	5	0	0	0	0
2	2	2	130	105	130	100	120	125	130	105	150	145	28	1	29	10	30	30	0	0	452	1	424	5	259	25	0	0
3	1	1	90	90	125	70	50	90	60	80	150	90	32	1	33	15	0	0	0	0	422	1	446	10	0	0	0	0
4	2	2	110	100	140	70	50	95	60	80	170	95	32	1	33	15	34	20	0	0	422	1	446	10	262	25	0	0
5	1	1	95	110	105	80	95	85	100	70	60	105	63	1	64	10	0	0	0	0	297	1	401	15	0	0	0	0
6	2	2	105	110	110	85	100	90	105	80	60	110	63	1	64	10	66	20	0	0	297	1	401	15	328	25	0	0
7	1	1	85	130	90	45	65	80	75	60	70	110	91	1	92	10	0	0	0	0	291	1	338	15	0	0	0	0
8	2	2	95	140	100	45	65	90	75	70	100	115	91	1	92	10	93	20	0	0	291	1	338	15	261	25	0	0
9	1	1	70	100	50	70	115	150	180	180	50	165	35	1	36	15	0	0	0	0	282	1	467	10	0	0	0	0
10	2	2	75	105	50	70	115	160	190	200	50	180	35	1	36	15	41	20	0	0	282	1	467	10	302	25	0	0
11	1	1	110	170	110	35	70	65	55	80	100	50	44	1	45	10	0	0	0	0	336	1	0	15	0	0	0	0
12	2	2	130	190	120	35	70	65	55	100	120	55	44	1	45	10	46	20	0	0	336	1	454	25	303	30	0	0
13	1	1	110	80	170	60	10	75	10	45	180	30	70	1	0	10	0	0	0	0	418	1	442	15	0	0	0	0
14	2	2	125	90	190	60	10	75	10	45	200	35	70	1	234	25	236	30	0	0	418	1	442	15	421	20	0	0
15	1	1	170	120	40	10	50	40	30	50	60	40	98	1	0	10	0	0	0	0	330	1	345	15	0	0	0	0
16	2	2	185	130	40	10	50	50	30	50	70	45	98	1	239	20	99	30	0	0	330	1	345	15	331	25	0	0
17	1	1	100	160	110	40	100	70	75	20	100	100	78	1	79	10	0	0	0	0	324	1	0	15	0	0	0	0
18	2	2	120	170	130	40	100	80	75	20	110	105	78	1	79	10	80	30	0	0	324	1	340	20	335	25	0	0
19	1	1	85	105	50	75	120	180	105	110	50	95	154	1	155	10	0	0	0	0	319	1	376	15	0	0	0	0
20	2	2	90	110	50	75	130	200	115	130	50	100	154	1	155	10	156	20	0	0	319	1	376	15	337	25	0	0
21	1	1	90	130	80	50	110	140	50	50	120	65	171	1	172	10	0	0	0	0	298	1	311	15	0	0	0	0
22	2	2	100	140	90	50	110	150	50	50	150	70	171	1	172	10	173	20	0	0	298	1	311	15	425	25	0	0
23	1	1	60	70	40	80	100	130	185	130	20	155	37	1	39	10	0	0	0	0	460	1	0	0	0	0	0	0
24	2	2	65	70	40	80	100	140	200	150	20	170	37	1	39	10	40	20	38	30	460	1	285	25	0	0	0	0
25	1	1	105	120	115	75	95	65	30	100	100	95	67	1	68	10	0	0	0	0	446	1	316	15	0	0	0	0
26	2	2	125	135	130	80	100	65	30	110	110	100	67	1	68	10	69	20	0	0	446	1	316	15	378	25	0	0
27	1	1	115	80	90	105	165	85	30	30	110	90	54	1	198	10	0	0	0	0	413	1	455	15	0	0	0	0
28	2	2	125	90	95	125	180	90	30	30	120	95	54	1	198	10	55	25	0	0	413	1	455	15	414	20	0	0
29	1	1	120	150	100	100	60	70	30	50	100	65	94	1	95	10	0	0	0	0	439	1	325	15	0	0	0	0
30	2	2	130	160	110	130	80	70	30	50	110	70	94	1	95	10	96	20	0	0	439	1	325	15	304	25	0	0
31	1	1	80	40	60	90	165	100	110	20	30	50	196	1	0	0	0	0	0	0	355	1	368	10	437	15	0	0
32	2	2	100	40	70	100	180	100	110	20	30	55	196	1	199	25	0	0	0	0	355	1	368	10	437	15	301	20
33	1	1	70	20	55	140	145	50	70	35	10	55	176	1	0	10	0	0	0	0	342	1	377	15	0	0	0	0
34	2	2	75	20	55	150	155	65	70	45	10	60	176	1	182	20	183	30	0	0	342	1	377	15	313	25	0	0
35	1	1	65	10	50	120	150	85	90	40	20	60	177	1	178	10	0	0	0	0	430	1	399	15	0	0	0	0
36	2	2	70	10	50	130	160	85	100	40	20	65	177	1	178	10	179	30	0	0	430	1	399	15	257	25	0	0
37	1	1	105	80	95	75	185	100	115	100	30	120	220	1	223	10	0	0	0	0	393	1	0	15	0	0	0	0
38	2	2	125	85	100	80	200	100	125	100	30	130	220	1	223	10	224	20	225	30	393	1	267	25	0	0	0	0
39	1	1	90	120	110	35	60	100	140	100	50	105	74	1	0	0	0	0	0	0	334	1	466	15	0	0	0	0
40	2	2	110	135	120	35	60	110	150	100	50	110	74	1	75	20	76	30	0	0	334	1	466	15	265	25	0	0
41	1	1	80	110	80	60	125	75	150	70	40	85	82	1	0	0	0	0	0	0	300	1	317	15	0	0	0	0
42	2	2	90	120	90	60	135	80	160	70	40	90	82	1	84	20	83	30	0	0	300	1	317	15	465	25	0	0
43	2	2	100	110	75	135	125	100	120	80	80	95	42	1	240	20	43	30	0	0	406	1	373	15	445	25	0	0
44	2	2	90	90	65	140	145	150	80	80	40	135	166	1	242	20	167	30	0	0	369	1	358	15	277	25	0	0
45	2	2	110	110	85	30	65	160	90	115	40	110	47	1	48	10	49	30	0	0	284	1	315	15	385	25	0	0
46	2	2	70	95	60	70	100	140	180	160	30	175	71	1	72	10	73	30	0	0	463	1	386	15	391	25	0	0
47	2	2	200	125	105	20	20	30	20	60	170	20	88	1	89	10	90	30	0	0	447	1	312	15	294	25	0	0
48	2	2	80	40	45	100	175	100	110	20	10	120	207	1	216	10	203	30	0	0	327	1	371	15	410	25	0	0
49	2	2	90	100	90	80	120	115	150	50	110	105	50	1	51	10	52	30	0	0	332	1	456	15	323	25	0	0
50	2	2	80	90	70	75	120	150	150	80	40	130	168	1	169	10	170	30	0	0	379	1	310	15	395	25	0	0
51	2	2	75	40	50	105	170	100	160	20	10	140	204	1	211	10	212	30	0	0	280	1	396	15	397	25	0	0
52	2	2	110	80	105	75	190	100	120	60	120	100	53	1	235	20	237	30	0	0	392	1	428	15	375	25	0	0
53	1	1	85	60	80	100	140	100	120	40	40	70	184	1	209	10	0	0	0	0	359	1	0	0	0	0	0	0
54	2	2	95	60	90	120	160	100	130	40	40	75	184	1	209	10	185	30	0	0	359	1	412	25	279	35	0	0
55	1	1	120	130	120	60	90	100	55	60	170	65	58	1	59	10	0	0	0	0	341	1	0	0	0	0	0	0
56	2	2	130	140	130	60	100	100	55	75	190	70	58	1	59	10	60	30	0	0	341	1	276	25	318	35	0	0
57	2	2	80	90	80	140	150	90	130	40	20	105	108	1	206	20	111	30	0	0	356	1	281	25	305	35	0	0
58	2	2	80	110	80	120	150	90	130	40	20	105	108	1	241	20	111	30	0	0	356	1	289	25	305	35	0	0
59	2	2	90	105	70	80	100	190	150	150	40	110	160	1	161	20	159	30	0	0	319	1	346	15	383	35	0	0
60	2	2	185	130	40	10	50	50	30	50	70	45	98	1	239	20	99	30	0	0	330	1	345	15	331	25	0	0
61	2	2	125	115	95	110	155	100	60	70	120	95	56	1	196	5	57	30	0	0	411	1	455	10	376	20	0	0
62	2	2	100	100	100	100	100	100	100	100	100	100	112	1	219	10	218	10	0	0	259	1	429	15	400	25	0	0
63	2	2	120	175	110	10	50	125	20	10	140	30	44	1	132	10	243	35	0	0	447	1	390	15	320	25	0	0
64	2	2	500	175	110	10	50	125	20	10	150	30	244	1	245	1	246	1	0	0	290	1	349	1	321	1	296	1
65	2	2	95	10	70	140	180	90	80	40	20	60	194	1	215	1	193	1	0	0	458	1	270	1	339	1	0	0
66	2	2	300	10	70	140	180	90	80	40	20	60	195	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
67	2	2	250	135	125	100	120	90	75	40	60	80	100	1	102	1	103	1	0	0	252	1	350	1	0	1	0	0
68	2	2	750	145	135	105	130	95	80	40	140	85	101	1	104	1	105	1	102	1	253	1	351	1	347	1	372	1
69	2	2	125	120	110	100	120	130	90	100	120	115	61	1	87	1	62	1	0	0	426	1	344	1	295	1	0	0
70	2	2	110	125	95	100	100	135	110	125	80	120	85	1	87	10	86	30	0	0	384	1	268	5	438	20	0	0
71	2	2	130	115	70	100	80	140	180	80	45	140	106	1	107	1	238	1	0	0	264	1	427	1	464	1	0	0
72	2	2	130	115	70	100	80	140	180	80	45	140	106	1	107	1	238	1	0	0	264	1	427	1	464	1	0	0
73	2	2	90	10	50	130	190	95	80	40	20	100	220	1	180	1	181	1	0	0	435	1	394	1	269	1	0	0
