东迦柯姆镇	ドンガコームの町
乌瓦拉屯驻地	ウバーレ駐屯地
乌瓦拉采掘场	ウバーレ採掘場
乌茨萨布遗迹	ウツルサブルの遺跡
乔佩尔塞堡垒	ジョペルセ砦
亚丁珀斯塔冰窟	アディンポエスタ氷穴
亚斯特维兹堡垒	アストウィーズ砦
亚连特达奇屯驻地	アレントダーチ駐屯地
人鱼石板	人魚の石板
伊巴纳姆遗迹	イーバナーム遺跡
伊斯塔尼亚堡垒	イスタニア砦
伊斯比格遗迹	イースビッグの遺跡
伯格迪兹尔屯驻地	ボーグデズール駐屯地
佩兹顿南门	ペイズトン南門
佩尼拉克松屯驻地	ペニラクソン駐屯地
佩尼维达镇	ペニヴェーダの町
佩里斯莫斯特堡垒	ペリスモスト砦
修劳多弗德镇	シュラウドフォードの町
修卜镇	シュヴの町
修威格镇	シュヴィーガの町
修戈拉波特镇	ショゴラポルトの町
修瓦尔胡斯镇	シュワルフルスの町
克莱因菲尔特关隘	クラインフェルト関所
关隘	関所
兹诺巴镇	ズノーバの町
内斯塔谢夫特镇	ネスタシェフトの町
内特翁尼墓地	ネイトオンニ墓地
切托雷塔茨亚镇	チェトレタツィアの町
刚勒菲尔德镇	ガンラフェルドの町
利吉艾尔镇	リジエールの町
利巴洛奇采掘场	リバローチ採掘場
利米茨堡垒	リミーツ砦
利维艾镇	リヴィエの町
剑之英雄雕像	剣の英雄像
加拉瓦堡垒	ガラーヴァ砦
劳尔哈尔城	ラウルハル城
勒布杰村	レブージェの里
博伊塔拉菲镇	ヴォイタラフィの町
博米特莱遗迹	ボミットライ遺跡
卜提采掘场	ブーティ採掘場
卜辛遗迹	ブーシン遺跡
卡尔法拉屯驻地	カルフアーラ駐屯地
卡洛杰茨堡垒	カロージェツ砦
卡雅拉克松镇	カヤラクソンの町
古尔彭特镇	グルポントの町
古都巴斯塔利札	古都バスタリーツァ
圣所	聖所
地下商人	闇商人
地下宫殿帕兰希佩尔特	地下宮殿パランシペルト
地下市场	闇市
地下都市希尔玛佩特	地下都市シルマペルト
地下都市库安提佩尔特	地下都市クアンティペルト
地狱犬石板	ケルベロスの石板
坎萨因遗迹	カンザイン遺跡
埃匹摩尔松堡垒	エピモルソ砦
城下镇东北区	城下町北東区画
城下镇东南区	城下町南東区画
城下镇中央区	城下町中央区画
城下镇西北区	城下町北西区画
城都东区	城都東区画
城都东南区	城都南東区画
城都东门	城都東門
城都中央区	城都中央区画
城都南门	城都南門
城都西区	城都西区画
城都西南区	城都南西区画
城都西门	城都西門
基鲁库卡镇	キウルクッカの町
堡垒	砦
塔尔维哈尤镇	タルヴィハユの町
塔普尔弗拉屯驻地	タプルフーラ駐屯地
塞多罗夏堡垒	セドローシャ砦
墓地	墓所
墨维关隘	メルビュ関所
多利纳洛特镇	ドリナロットの町
多瓦戈达屯驻地	ドヴァゴーダ駐屯地
大教堂东区	大聖堂東区画
大教堂北区	大聖堂北区画
大教堂北门	大聖堂北門
大教堂南区	大聖堂南区画
大门	門
奇利帕奥斯特冰窟	チリパオスト氷穴
奥克弗德东门	オークフォード東門
奥克弗德西门	オークフォード西門
奥克弗德镇	オークフォードの町
奥尔埃吉镇	オールエッジの町
奥特姆希尔堡垒	オータムヒル砦
奥特弗斯屯驻地	オルトフルス駐屯地
妖精石板	妖精の石板
威尔堡垒	ヴェール砦
威斯汀镇	ヴェステンの町
威斯赛托镇	ヴェスザイトの町
安提瑟帕屯驻地	エンテセッパ駐屯地
安柏艾比教会	アンバーアビー教会
尤克遗迹	ユーク遺跡
尤奎特东门	ユークイット東門
尤奎特北门	ユークイット北門
尤奎特南门	ユークイット南門
尼贝萨伯夫遗迹	ニベッサボフの遺跡
屯驻地	駐屯地
山羊石板	山羊の石板
巴刚迪之门	バーガンディ門
巴巴奇莫东门	バールバチモ東門
巴巴奇莫北门	バールバチモ北門
巴巴奇莫南门	バールバチモ南門
巴斯特利亚斯圣所	バストリアス聖所
巴斯特利亚斯墓地	バストリアスの墓所
巴斯特利亚斯采掘场	バストリアス採掘場
布莱克沃塔屯驻地	ブラックウォーター駐屯地
布里雅戈拉屯驻地	ブーリヤゴラ駐屯地
布鲁蒙塔尼屯驻地	ブルモンターニ駐屯地
希尔玛修巴屯驻地	シルマヒューバ駐屯地
希尔达基亚镇	シルタキルヤの町
希尔迪镇	ヒルディの町
