# 槽位	职业ID	性别	附加类型
1	3	2	2
2	5	2	2
3	7	2	2
4	13	2	2
5	23	2	2
6	25	2	2
7	7	2	2
8	19	2	2
9	23	2	2
10	5	1	2
11	15	2	2
12	41	2	2
13	3	2	2
14	19	2	2
15	31	2	2
16	7	2	2
17	13	2	2
18	35	2	2
19	23	2	2
20	25	2	2
21	33	2	2
22	5	1	2
23	13	2	2
24	15	2	2
25	17	1	2
26	19	2	2
27	31	2	2
28	3	2	2
29	25	2	2
30	41	2	2
31	35	2	2
32	11	2	2
33	13	2	2
34	15	2	2
35	25	2	2
36	33	2	2
37	13	2	2
38	17	2	2
39	37	2	2
40	5	2	2
41	15	2	2
42	17	1	2
43	37	2	2
44	11	2	2
45	17	2	2
46	25	2	2
47	27	2	2
48	31	2	2
49	41	2	2
50	3	2	2
51	9	2	2
52	27	2	2
53	5	2	2
54	33	2	2
55	37	2	2
56	7	2	2
57	23	2	2
58	27	2	2
59	25	2	2
60	31	2	3
61	33	2	2
62	17	1	2
63	23	2	2
64	41	2	2
65	19	2	2
66	9	1	2
67	39	2	2
68	23	2	2
69	11	1	2
70	19	2	2
71	39	2	2
72	11	1	2
73	17	1	2
74	23	2	2
75	9	1	2
76	21	2	2
77	29	2	2
78	3	2	2
79	19	2	2
80	39	2	2
81	4	2	2
82	11	2	2
83	21	2	2
84	37	2	2
85	29	2	2
86	39	2	2
87	13	2	2
88	35	2	2
89	27	2	2
90	29	2	2
91	21	2	2
92	37	2	2
93	17	2	2
94	29	2	2
95	39	2	2
96	7	2	2
97	14	2	2
98	21	2	2
99	9	2	2
100	11	1	2
101	31	2	2
102	9	1	2
103	11	2	2
104	15	2	2
105	21	2	2
106	29	2	2
107	39	2	2
108	5	2	2
109	41	2	2
110	44	1	2
111	3	2	2
112	19	2	2
113	41	2	2
114	17	1	2
115	27	2	2
116	43	1	2
117	27	2	2
118	33	2	2
119	35	2	2
120	37	2	2
121	44	1	2
122	44	2	2
123	7	2	2
124	13	2	2
125	31	2	2
126	19	2	2
127	33	2	2
128	43	1	2
129	5	1	2
130	15	2	2
131	13	2	2
132	3	2	2
133	23	2	2
134	35	2	2
135	41	2	2
136	43	2	2
137	44	2	2
138	7	2	2
139	15	2	2
140	43	2	2
141	25	2	2
142	43	2	2
143	44	1	2
144	27	2	2
145	43	1	2
146	44	2	2
147	9	2	2
148	35	2	2
149	43	1	2
150	43	2	2
151	44	1	2
152	44	2	2
153	36	2	2
154	34	2	2
155	38	2	2
156	24	2	2
157	4	2	3
158	6	1	2
159	8	2	2
160	16	2	2
161	45	2	2
162	48	2	2
163	18	1	2
164	18	2	2
165	26	2	2
166	30	2	2
167	46	2	2
168	42	2	2
169	40	2	2
170	24	2	2
171	47	2	2
172	12	1	2
173	12	2	2
174	14	2	2
175	45	2	2
176	6	1	2
177	26	2	2
178	30	2	2
179	47	2	2
180	46	2	2
181	10	1	2
182	10	2	2
183	48	2	2
184	42	2	2
185	40	2	2
186	38	2	2
187	45	2	2
188	46	2	2
189	48	2	2
190	47	2	2
191	32	2	2
192	16	2	2
193	45	2	2
194	47	2	2
195	48	2	2
196	34	2	2
197	36	2	2
198	38	2	2
199	46	2	2
200	20	2	2
201	22	2	2
202	24	2	2
203	49	2	2
204	50	2	2
205	10	1	2
206	10	2	2
207	50	2	2
208	8	2	2
209	36	2	2
210	34	2	2
211	20	2	2
212	22	2	2
213	49	2	2
214	52	2	2
215	28	2	2
216	30	2	2
217	51	2	2
218	6	1	2
219	6	2	2
220	32	2	2
221	52	2	2
222	4	2	2
223	16	2	2
224	14	2	3
225	51	2	2
226	12	1	2
227	12	2	2
228	26	2	2
229	49	2	2
230	51	2	2
231	52	2	2
232	40	2	2
233	42	2	2
234	28	2	2
235	49	2	2
236	14	2	2
237	18	1	2
238	18	2	2
239	50	2	2
240	8	2	2
241	20	2	2
242	22	2	2
243	49	2	2
244	50	2	2
245	51	2	2
246	52	2	2
247	32	2	2
248	28	2	2
