# 槽位	物品ID	权重	挖掘目标	类型	单局上限
0	95	50	40	1	999
1	115	40	40	1	999
2	5	3	150	1	1
3	265	5	70	1	1
4	266	0	120	2	0
5	267	0	170	3	0
6	173	30	100	1	1
7	174	20	150	1	1
8	175	15	200	1	1
9	176	12	250	1	1
10	177	10	300	1	1
11	96	50	40	1	999
12	116	40	40	1	999
13	5	3	180	1	1
14	265	10	70	1	3
15	266	0	120	2	0
16	267	0	170	3	0
17	179	20	130	1	1
18	180	15	180	1	1
19	181	12	230	1	1
20	182	10	280	1	1
21	183	8	330	1	1
22	97	50	40	1	999
23	117	40	50	1	999
24	5	4	190	1	2
25	265	10	70	1	5
26	266	5	120	2	3
27	267	0	170	3	0
28	185	20	140	2	1
29	186	15	190	2	1
30	187	12	240	2	1
31	188	10	290	3	1
32	189	8	340	0	1
33	98	50	40	1	999
34	118	40	50	1	999
35	64	3	450	0	1
36	5	5	200	3	2
37	265	10	80	1	5
38	266	5	130	2	3
39	267	3	180	3	1
40	191	20	150	2	1
41	192	15	200	2	1
42	193	12	250	3	1
43	194	10	300	3	1
44	195	8	350	0	1
45	99	40	50	1	999
46	119	40	50	1	999
47	64	4	450	0	3
48	65	1	450	0	3
49	5	5	200	3	3
50	265	10	90	1	5
51	266	5	140	2	4
52	267	3	190	3	2
53	197	20	200	2	1
54	198	15	250	2	1
55	199	12	300	3	1
56	200	10	350	3	1
57	201	8	400	3	1
58	178	6	500	0	1
59	196	6	500	0	1
60	190	6	500	0	1
61	184	6	500	0	1
62	202	6	500	0	1
