# ID	名称（英文，缺失时回退日文）	名称（日文）	名称（简体中文，来源：v1.0.5 中文资源）
0		なし	无
1		プレイヤースタート	玩家起点
2		アレイン	亚连
3		ジェラール	热拉尔
4		スカーレット	斯嘉丽
5		レックス	雷克斯
6		クロエ	克洛伊
7		ジョセフ	约瑟夫
8		ジョセフ	约瑟夫
9		ゼノイラ兵	泽诺伊拉士兵
10		ゼノイラ兵	泽诺伊拉士兵
11		ゼノイラ兵	泽诺伊拉士兵
12		ホドリック	霍德里克
13		クライブ	克莱夫
14		クライブ	克莱夫
15		トラヴィス	崔维斯
16		オーバン	奥邦
17		トラヴィス	崔维斯
18		傭兵	佣兵
19		ベレンガリア	贝伦加丽娅
20		ブルーノ	布鲁诺
21		オクリース	奥古丽斯
22		天翼騎士団員	天翼骑士团成员
23		シャロン	夏伦
24		黒爪盗賊団員	黑爪盗贼团成员
25		黒爪盗賊団員	黑爪盗贼团成员
26		黒爪盗賊団員	黑爪盗贼团成员
27		モルドン	莫尔顿
28		鉄兜傭兵団員	铁盔佣兵团成员
29		ヤーナ	雅娜
30		オスタラ	奥斯塔拉
31		ミア	米亚
32		アデル	阿德勒
33		アデル	阿德勒
34		副官	副官
35		ガストン配下	加斯顿的部下
36		キトラ	基特拉
37		ミリアム	米莉安
38		フラウ	芙劳
39		ルノー配下	鲁诺的部下
40		ゼノイラ兵	泽诺伊拉士兵
41		ベレニス	贝伦妮斯
42		ベレニス	贝伦妮斯
43		ニーナ	尼娜
44		ミレー	米蕾
45		ブリス	布利斯
46		ブリス	布利斯
47		スヴェン	斯韦恩
48		クルト	库尔特
49		岩鼠団員	岩鼠团成员
50		岩鼠団員	岩鼠团成员
51		岩鼠団員	岩鼠团成员
52		ロルフ	罗尔夫
53		リオネル	利昂内尔
54		アンドレ	安德烈
55		騎士	骑士
56		自警団	自卫团
57		自警団	自卫团
58		黒爪盗賊団員	黑爪盗贼团成员
59		黒爪盗賊団員	黑爪盗贼团成员
60		メリザンド	梅丽桑德
61		コーム	寇姆
62		メリザンド配下	梅丽桑德的部下
63		モニカ	莫妮卡
64		モニカ配下	莫妮卡的部下
65		マチアス	马蒂亚斯
66		ハンス	汉斯
67		ライカ	莱卡
68		野盗	山贼
69		野盗	山贼
70		野盗	山贼
71		僧侶	僧侣
72		タチアナ	塔季扬娜
73		オーシュ	奥修
74		オーシュ配下	奥修的部下
75		セルヴィ	赛尔维
76		ヴァージニア	弗吉尼亚
77		リア	莉亚
78		プリム	普林
