# id	address	itemId	stock	price	englishLocation	japaneseLocation	chineseLocation	group	shared
0	0x00D46A58	645	1	2000	Palevia Town	パレヴィアの町	帕雷比亚镇	C0_WEAPON_0 (Armorer)	0
1	0x00D46A6C	876	1	2000	Palevia Town	パレヴィアの町	帕雷比亚镇	C0_WEAPON_0 (Armorer)	0
2	0x00D484FC	283	2	1500	Palevia Town	パレヴィアの町	帕雷比亚镇	WEAPON_C_ATK_1 (Armorer)	1
3	0x00D48510	416	2	1500	Palevia Town	パレヴィアの町	帕雷比亚镇	WEAPON_C_ATK_1 (Armorer)	1
4	0x00D48524	350	2	1500	Palevia Town	パレヴィアの町	帕雷比亚镇	WEAPON_C_ATK_1 (Armorer)	1
5	0x00D48538	482	2	1500	Palevia Town	パレヴィアの町	帕雷比亚镇	WEAPON_C_ATK_1 (Armorer)	1
6	0x00D4854C	548	2	1500	Palevia Town	パレヴィアの町	帕雷比亚镇	WEAPON_C_ATK_1 (Armorer)	1
7	0x00D46B0C	386	1	3000	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	C1_WEAPON_0 (Armorer)	0
8	0x00D46B20	330	1	12000	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	C1_WEAPON_0 (Armorer)	0
9	0x00D484FC	283	2	1500	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	WEAPON_C_ATK_1 (Armorer)	1
10	0x00D48510	416	2	1500	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	WEAPON_C_ATK_1 (Armorer)	1
11	0x00D48524	350	2	1500	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	WEAPON_C_ATK_1 (Armorer)	1
12	0x00D48538	482	2	1500	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	WEAPON_C_ATK_1 (Armorer)	1
13	0x00D4854C	548	2	1500	Ouvrir Harbor	港町ウーヴリール	港镇乌夫里尔	WEAPON_C_ATK_1 (Armorer)	1
14	0x00D46AA8	593	1	15000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	TK_C01_WEAPON (Armorer)	0
15	0x00D46ABC	671	1	8000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	TK_C01_WEAPON (Armorer)	0
16	0x00D46AD0	889	1	5000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	TK_C01_WEAPON (Armorer)	0
17	0x00D46AE4	786	1	10000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	TK_C01_WEAPON (Armorer)	0
18	0x00D46AF8	805	1	10000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	TK_C01_WEAPON (Armorer)	0
19	0x00D48718	283	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
20	0x00D4872C	416	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
21	0x00D48740	350	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
22	0x00D48754	482	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
23	0x00D48768	548	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
24	0x00D4877C	643	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
25	0x00D48790	711	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
26	0x00D487A4	284	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
27	0x00D487B8	417	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
28	0x00D487CC	351	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
29	0x00D487E0	483	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
30	0x00D487F4	549	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
31	0x00D48808	644	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
32	0x00D4881C	712	1	2000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
33	0x00D48830	790	3	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
34	0x00D48844	793	3	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
35	0x00D48858	796	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
36	0x00D4886C	799	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
37	0x00D48880	811	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
38	0x00D48894	813	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
39	0x00D488A8	815	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
40	0x00D488BC	818	2	1500	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
41	0x00D488D0	926	2	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
42	0x00D488E4	927	2	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
43	0x00D488F8	928	2	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
44	0x00D4890C	929	2	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
45	0x00D48920	931	2	1000	Walled City of Barbatimo	城塞都市バールバチモ	要塞都市巴巴奇莫	WEAPON_C_SP_1 (Armorer)	0
46	0x00D46A80	713	1	2000	Palevia Harbor	パレヴィア港	帕雷比亚港	C0_WEAPON_1 (Armorer)	0
47	0x00D46A94	329	1	15000	Palevia Harbor	パレヴィア港	帕雷比亚港	C0_WEAPON_1 (Armorer)	0
48	0x00D485C4	643	2	1500	Palevia Harbor	パレヴィア港	帕雷比亚港	WEAPON_C_DEF_1 (Armorer)	1
49	0x00D485D8	711	2	1500	Palevia Harbor	パレヴィア港	帕雷比亚港	WEAPON_C_DEF_1 (Armorer)	1
50	0x00D485EC	790	3	1000	Palevia Harbor	パレヴィア港	帕雷比亚港	WEAPON_C_DEF_1 (Armorer)	1
51	0x00D48600	793	3	1000	Palevia Harbor	パレヴィア港	帕雷比亚港	WEAPON_C_DEF_1 (Armorer)	1
52	0x00D46BD4	829	1	10000	Bellum Ghoria Hamlet	ベレムゴリアの里	贝雷姆戈利亚村	C3_WEAPON_1 (Armorer)	0
53	0x00D46BE8	398	1	12000	Bellum Ghoria Hamlet	ベレムゴリアの里	贝雷姆戈利亚村	C3_WEAPON_1 (Armorer)	0
54	0x00D484FC	283	2	1500	Bellum Ghoria Hamlet	ベレムゴリアの里	贝雷姆戈利亚村	WEAPON_C_ATK_1 (Armorer)	1
55	0x00D48510	416	2	1500	Bellum Ghoria Hamlet	ベレムゴリアの里	贝雷姆戈利亚村	WEAPON_C_ATK_1 (Armorer)	1
