# ID	英文	日文	简体中文	类型	消耗	物理威力	魔法威力	命中	目标范围	首个效果参数
28	Lean Edge	リーンエッジ	统御之刃	A	1	100	0	100	1	0.25
29	Cavalry Slayer	キャバルリースレイ	骑兵诛杀	A	1	100	0	100	1	1
30	Spinning Edge	スピニングエッジ	螺旋刺刃	A	2	60	0	100	6	0.5
31	Astral Blade	アストラルブレード	星辰一剑	A	2	150	0	100	6	0.5
32	Warding Slash	ガードスラッシュ	格挡斩击	A	1	100	0	100	1	0.20000000298023224
33	Shield Bash	シールドバッシュ	盾装冲撞	A	1	50	0	100	1	0
34	Defender	ディフェンダー	捍卫者	A	2	75	0	100	1	0.5
35	Keen Edge	シャープエッジ	振奋利刃	A	1	100	0	100	1	0.5
36	Impale	インペイル	穿透	A	1	100	0	100	1	1
37	Passive Steal	パッシブスティール	被动窃取	A	1	50	0	100	1	4
38	Active Steal	アクティブスティール	主动窃取	A	2	25	0	100	1	1
39	Toxic Throw	トキシックスロー	淬毒一掷	A	1	25	0	100	1	0
40	Shadowbite	シャドウバイト	暗影啮咬	A	2	15	0	100	6	0
41	Meteor Slash	メテオスラッシュ	流星斩击	A	2	20	0	100	1	0.30000001192092896
42	Lightning Blade	ライトニングソード	雷霆剑	A	1	75	75	100	1	0
43	Mirage Stab	ミラージュスタブ	幻影戳刺	A	2	75	75	100	6	0
44	Heavy Slash	メガスラッシュ	重斩	A	1	150	0	100	1	0
45	Killing Chain	キリングチェイン	杀戮连锁	A	1	100	0	100	1	1
46	Bastard's Cross	バスタードクロス	恶徒十字	A	2	70	0	100	1	60
47	Finishing Stab	フィニッシュスタブ	终结戳刺	A	1	100	0	100	1	0.5
48	Decimate	デシマルキラー	穷寇杀手	A	1	75	0	100	1	25
49	Wild Fang	ワイルドファング	野蛮尖齿	A	2	20	0	100	6	50
50	Spiral Sword	スパイラルソード	螺旋剑	A	1	100	0	100	1	20
51	Shield Smite	シールドスマイト	盾装重击	A	1	100	0	100	1	0.20000000298023224
52	Honed Slash	エンハンスラッシュ	强化斩击	A	2	70	0	100	1	0
